1000 4000
308 172 983
890 588 313
987 964 245
249 945 416
334 109 835
464 689 635
816 874 393
174 227 184
513 502 818
935 395 898
457 659 919
694 49 144
696 343 942
838 262 514
606 70 320
115 649 75
797 78 192
618 926 394
63 975 242
723 608 753
792 724 383
662 474 475
982 709 423
687 370 858
951 369 778
490 101 614
808 901 677
813 280 303
818 495 640
254 21 625
529 242 75
80 730 876
202 113 833
91 429 990
802 101 18
574 715 41
957 191 614
583 822 628
753 39 219
909 642 887
379 742 973
330 966 507
725 565 503
230 812 595
956 741 965
240 977 274
798 631 316
730 512 510
209 616 69
534 748 960
376 46 892
467 332 785
1 660 336
250 141 895
442 115 120
780 387 653
57 950 449
424 987 361
728 589 326
107 211 298
784 680 880
685 289 469
237 556 442
800 823 749
404 33 728
438 480 347
772 218 932
712 123 871
408 61 36
350 641 757
6 438 166
893 150 629
590 12 17
824 1 507
549 405 33
435 626 761
60 917 984
747 372 608
325 147 340
177 451 127
152 479 43
137 93 250
454 750 717
683 729 525
530 978 325
940 826 381
291 325 652
481 715 821
745 606 364
27 877 971
706 896 543
539 35 867
839 846 617
572 156 392
814 758 482
195 865 635
996 167 255
133 987 840
522 586 202
171 997 514
629 844 66
360 788 83
77 880 805
162 352 366
285 781 502
800 495 443
578 708 933
769 456 513
81 326 662
222 200 210
710 874 668
629 564 285
370 431 350
246 843 40
583 592 434
892 768 437
144 239 547
31 738 353
785 933 197
801 481 400
457 410 212
619 545 890
390 429 942
634 402 413
287 109 882
814 23 75
281 273 190
927 563 114
822 424 817
270 810 208
313 662 377
172 728 152
950 134 518
662 150 894
615 780 779
964 714 152
732 925 537
382 517 191
849 865 776
819 709 286
660 315 780
787 276 550
614 323 161
138 956 763
319 975 181
447 85 343
450 364 826
717 228 981
980 501 382
963 31 348
403 751 319
894 206 696
165 748 398
686 351 567
120 635 26
749 965 792
907 586 4
816 76 14
334 881 69
597 787 986
431 87 7
334 603 805
799 546 461
636 851 692
649 757 722
29 255 855
14 330 805
163 653 125
112 824 70
942 633 801
392 15 539
969 23 71
241 865 369
50 336 53
879 462 838
517 152 475
714 914 567
591 662 233
378 421 421
955 135 223
446 117 633
594 238 22
419 566 71
238 870 331
147 738 633
302 412 975
377 927 958
274 468 770
630 971 427
554 773 568
248 836 960
16 774 267
989 367 541
972 500 393
370 293 599
255 605 723
520 459 424
